Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
,,,,,,,,,,,,Evidence of Repeated and Independent Saltational Evolution in a Peculiar Genus of Sphinx Moths (Proserpinus: Sphingidae),"Rubinoff, Daniel; Le Roux, Johannes J.",,,,PLOS ONE,DEC 24 2008,2008,3,12,,,,,,e4035,10.1371/journal.pone.0004035,,,6,0.6
,,,,Flower,,,Flower,,,,Pollinator,Pollinator limitation and inbreeding depression in orchid species with and without nectar rewards,"Smithson, A",,,,NEW PHYTOLOGIST,2006,2006,169,2,,,,419,430,,10.1111/j.1469-8137.2005.01592.x,,,40,3.33
,,,,Butterfly,,,Butterfly,,,,Predator/bird,"Intrasexual selection constrains the evolution of the dorsal color pattern of male black swallowtail butterflies, Papilio polyxenes","Lederhouse, RC; Scriber, JM",,,,EVOLUTION,Apr-96,1996,50,2,,,,717,722,,10.2307/2410844,,,32,1.45
,,,,,,,,,,,,Defence strategies of opisthobranch slugs against predatory fish.,"Marin, Arnaldo",,,"Zaccone, Giacomo; Pierriere, C.; Mathis, A.; Kapoor, B.G.","Fish defenses. Volume 2: pathogens, parasites, and predators.",2009,2009,,,,,,203,242,,10.1201/b10189-8,,,0,0
,,,,,,,,,,,,"Aggressive mimicry in neonates of the sidewinder rattlesnake, Crotalus cerastes (Serpentes : Viperidae): stimulus control and visual perception of prey luring","Reiserer, Randall S.; Schuett, Gordon W.",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Sep-08,2008,95,1,,,,81,91,,10.1111/j.1095-8312.2008.01016.x,,,14,1.4
,,,,,,,,,,,,Mimicry and imitation - the cognitive dimensions,"Kaplan, Gisela",,,,BIRD MINDS: COGNITION AND BEHAVIOUR OF AUSTRALIAN NATIVE BIRDS,2015,2015,,,,,,93,106,,,,,0,0
,,,,,,,,,,,,Mimicry in three species of Palawan snakes.,"Alviola, Pedro L., III; Clavecillas, Angelo A.",,,,Asia Life Sciences,July-December 2003,2003,12,2,,,,123,128,,,,,0,0
,,,,,,,,,,,,Predictable patterns of trait mismatches between interacting plants and insects,"Anderson, Bruce; Terblanche, John S.; Ellis, Allan G.",,,,BMC EVOLUTIONARY BIOLOGY,JUL 7 2010,2010,10,,,,,,,204,10.1186/1471-2148-10-204,,,20,2.5
,,,,,,,,,,,,Responses of greater roadrunners during attacks on sympatric venomous and nonvenomous snakes,"Sherbrooke, WC; Westphal, MF",,,,SOUTHWESTERN NATURALIST,Mar-06,2006,51,1,,,,41,47,,10.1894/0038-4909(2006)51[41:ROGRDA]2.0.CO;2,,,2,0.17
,,,,,,,,,,,,Why does the Yellow-eyed ensatina have yellow eyes? Batesian mimicry of Pacific newts (genus Taricha) by the salamander Ensatina eschscholtzii xanthoptica,"Kuchta, Shawn R.; Krakauer, Alan H.; Sinervo, Barry",,,,EVOLUTION,Apr-08,2008,62,4,,,,984,990,,10.1111/j.1558-5646.2008.00338.x,,,19,1.9
,,,,,,,,,,,,How Do Predators Learn to Recognize a Mimetic Complex: Experiments with Naive Great Tits and Aposematic Heteroptera,"Svadova, Katerina Hotova; Exnerova, Alice; Kopeckova, Michala; Stys, Pavel",,,,ETHOLOGY,Oct-13,2013,119,10,,,,814,830,,10.1111/eth.12121,,,9,1.8
,,,,,,,,,,,,Complex dynamics underlie the evolution of imperfect wing pattern convergence in butterflies.,"Finkbeiner, Susan D; Briscoe, Adriana D; Mullen, Sean P",,,,Evolution; international journal of organic evolution,2017-Jan-04,2017,,,,,,,,,10.1111/evo.13165,,,0,0
,,,,,,,,,,,,"A Heretofore Unreported Instant Color Change In a Beetle, Nicrophorus tomentosus Weber (Coleoptera: Silphidae)","Heinrich, Bernd",,,,NORTHEASTERN NATURALIST,Jun-12,2012,19,2,,,,345,352,,,,,2,0.33
,,,,,,,,,,,,Pretending to be venomous: is a snake's head shape a trustworthy signal to a predator?,"Guimaraes, Murilo; Sawaya, Ricardo J.",,,,JOURNAL OF TROPICAL ECOLOGY,Jul-11,2011,27,,4,,,437,439,,10.1017/S0266467411000095,,,5,0.71
,,,,,,,,,,,,"Inium, a new Australian genus of Platystomatidae (Diptera: Schizophora) apparently mimicking ants","McAlpine, David K.",,,,Beitraege zur Entomologie,1995,1995,45,2,,,,251,259,,,,,1,0.04
,,,,,,,,,,,,Toxicity assays of ladybirds using natural predators.,"Marples, Nicola M.",,,,Chemoecology,1993,1993,4,1,,,,33,38,,10.1007/BF01245894,,,9,0.36
,,,,,,,,,,,,Pollinator attraction in Anacamptis papilionacea (Orchidaceae): a food or a sex promise?,"Scopece, Giovanni; Juillet, Nicolas; Mueller, Andreas; Schiestl, Florian P.; Cozzolino, Salvatore",,,,PLANT SPECIES BIOLOGY,Aug-09,2009,24,2,,,,109,114,,10.1111/j.1442-1984.2009.00244.x,,,4,0.44
,,,,,,,,,,,,Taxonomic study of the genus Myrmarachne of Borneo (Araneae: Salticidae),"Yamasaki, Takeshi; Ahmad, Abdul Hamid",,,,ZOOTAXA,SEP 18 2013,2013,3710,6,,,,501,556,,,,,6,1.2
,,,,Artificial,,,Artificial,,,,Predator/great tit,Batesian mimicry and signal accuracy,"Mappes, J; Alatalo, RV",,,,EVOLUTION,Dec-97,1997,51,6,,,,2050,2053,,10.2307/2411028,,,35,1.67
,,,,,,,,,,,,The reindeer oestrids Hypoderma tarandi and Cephenemyia trompe (Diptera : Oestridae): Batesian mimics of bumblebees (Hymenoptera : Apidae : Bombus spp.)?,"Nilssen, AC; Anderson, JR; Bergersen, R",,,,JOURNAL OF INSECT BEHAVIOR,May-00,2000,13,3,,,,307,320,,10.1023/A:1007701916792,,,5,0.28
,,,,,,,,,,,,Coral snake mimics are protected only when they occur with their model.,"Pfennig, DW; Harcombe, WR; Pfennig, KS",,,,AMERICAN ZOOLOGIST,Dec-00,2000,40,6,,,,1170,1170,,,,,1,0.06
,,,,,,,,,,,,Serpentes: Micrurus mipartitus (NCN): Polymorphism,"Leenders, Twan; Beckers, Gabriel; Strijbosch, Henk",,,,Herpetological Review,1996,1996,27,1,,,,25,,,,,,0,0
,,,,,,,,,,,,"THE 1ST VESPIFORM TINEID MOTH (LEPIDOPTERA, TINEIDAE)","ROBINSON, GS; CARTER, DJ",,,,SYSTEMATIC ENTOMOLOGY,Jul-89,1989,14,3,,,,259,273,,10.1111/j.1365-3113.1989.tb00284.x,,,1,0.03
,,,,,,,,,,,,"Mendelian dihybridism in central European polymorphic populations of aposematic burnet-moth Zygaena ephialtes (Linnaeus, 1767) and its Mullerian-Batesian mimicry (Lepidoptera, Zygaenidae).","Povolny, D.",,,,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,1999,1999,47,4,,,,41,66,,,,,3,0.16
,,,,,,,,,,,,What kind of signals do mimetic tiger moths send? A phylogenetic test of wasp mimicry systems (Lepidoptera : Arctiidae : Euchromiini),"Simmons, RB; Weller, SJ",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MAY 22 2002,2002,269,1495,,,,983,990,,10.1098/rspb.2002.1970,,,15,0.94
,Not about mimicry,,,,,,,,,,,The evolution and ecology of masquerade,"Skelhorn, John; Rowland, Hannah M.; Ruxton, Graeme D.",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Jan-10,2010,99,1,,,,1,8,,,,,51,6.38
,,,,,,,,,,,,Does mimicry of ants reduce predation by wasps on salticid spiders?,"Edmunds, Malcolm",,,,Memoirs of the Queensland Museum,1993,1993,33,2,,,,507,512,,,,,24,0.96
,,,,,,,,,,,,Behavioural mimicry in flight path of Batesian intraspecific polymorphic butterfly Papilio polytes,"Kitamura, Tasuku; Imafuku, Michio",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUN 22 2015,2015,282,1809,,,,,,20150483,10.1098/rspb.2015.0483,,,2,0.67
,,,,Butterfly,,,Butterfly,,,,Predator/bird,"WHY ARE THERE SO MANY MIMICRY RINGS - CORRELATIONS BETWEEN HABITAT, BEHAVIOR AND MIMICRY IN HELICONIUS BUTTERFLIES","MALLET, J; GILBERT, LE",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Jun-95,1995,55,2,,,,159,180,,10.1111/j.1095-8312.1995.tb01057.x,,,119,5.17
,,,,,,,,,,,,Behavioral Batesian Mimicry Involving Intraspecific Polymorphism in the Butterfly Papilio polytes,"Kitamura, Tasuku; Imafuku, Michio",,,,ZOOLOGICAL SCIENCE,Mar-10,2010,27,3,,,,217,221,,10.2108/zsj.27.217,,,5,0.62
,,,,,,,,,,,,Optimal control in predation of models and mimics,"Tsoularis, A.",,,"Simos, TE",Numerical Analysis and Applied Mathematics,2007,2007,936,,,,,558,561,,,International Conference on Numerical Analysis and Applied Mathematics,"SEP 16-20, 2007",0,0
,,,,,,,,,,,,"La singular morfologia de Acledra haematopa (Spinola, 1852) dentro del genero Acledra Signorte, 1864 (Hemiptera: Heteroptera: Pentatomidae): un caso de mimetismo batesiano, con descripcion de un nuevo subgenero.. The singular morphology of Acledra haematopa (Spinola, 1852) within the genus Acledra Signoret, 1864 (Hemiptera: Heteroptera: Pentatomidae), a case of Batesian mimicry, with descriptions of a new subgenus.","Faundez, Eduardo I.; Verdejo, Leyla M.",,,,Boletin de la SEA,30 junio 2010,2010,46,,,,,77,82,,,,,4,0.5
,,,,,,,,,,,,Polymorphism and Batesian mimicry in Papilio polytes Linnaeus.,"Uesugi, Kenji",,,,Nature & Insects,Nov-95,1995,30,12,,No 391,,4,8,,,,,0,0
,,,,,,,,,,,,Context-dependent discrimination and the evolution of mimicry,"Holen, OH; Johnstone, RA",,,,AMERICAN NATURALIST,Mar-06,2006,167,3,,,,377,389,,10.1086/499567,,,22,1.83
,,,,,,,,,,,,Reproductive success in the Mexican rewardless Oncidium cosymbephorum (Orchidaceae) facilitated by the oil-rewarding Malpighia glabra (Malpighiaceae),"Carmona-Diaz, Gustavo; Garcia-Franco, Jose G.",,,,PLANT ECOLOGY,Aug-09,2009,203,2,,,,253,261,,10.1007/s11258-008-9543-6,,,13,1.44
,,,,,,,,,,,,Predator dependent mimetic complexes: Do passerine birds avoid Central European red-and-black Heteroptera?,"Svadova, Katerina Hotova; Exnerova, Alice; Kopeckova, Michala; Stys, Pavel",,,,EUROPEAN JOURNAL OF ENTOMOLOGY,2010,2010,107,3,,,,349,355,,,,,12,1.5
,,,,,,,,,,,,Hoverflies: the garden mimics.,"Edmunds, Malcolm",,,,Biologist (London),Nov-08,2008,55,4,,,,202,207,,,,,1,0.1
,,,,,,,,,,,,Do hoverflies (Diptera: Syrphidae) sound like the Hymenoptera they morphologically resemble?,"Rashed, A.; Khan, M. I.; Dawson, J. W.; Yack, J. E.; Sherratt, T. N.",,,,BEHAVIORAL ECOLOGY,MAR-APR 2009,2009,20,2,,,,396,402,,10.1093/beheco/arn148,,,11,1.22
,,,,,,,,,,,,"What constitutes optical warning signals of ladybirds (Coleoptera: Coccinellidae) towards bird predators: colour, pattern or general look?","Dolenska, Michaela; Nedved, Oldrich; Vesely, Petr; Tesarova, Monika; Fuchs, Roman",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Sep-09,2009,98,1,,,,234,242,,,,,19,2.11
,,,,,,,,,,,,How many ways can a snake growl? The morphology of sound production in Ptyas mucosus and its potential mimicry of Ophiophagus,"Young, BA; Solomon, J; Abishahin, G",,,,HERPETOLOGICAL JOURNAL,Jul-99,1999,9,3,,,,89,94,,,,,4,0.21
,,,,,,,,,,,,Selection overrides gene flow to break down maladaptive mimicry,"Harper, George R., Jr.; Pfennig, David W.",,,,NATURE,FEB 28 2008,2008,451,7182,,,,1103,U6,,10.1038/nature06532,,,26,2.6
,,,,,,,,,,,,Distance-dependent costs and benefits of aggressive mimicry in a cleaning symbiosis,"Cote, IM; Cheney, KL",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,DEC 22 2004,2004,271,1557,,,,2627,2630,,10.1098/rspb.2004.2904,,,21,1.5
,,,,,,,,,,,,Deceptive pollination of orchids.,"Ren, Xongxin; Wang, Hong; Luo, Yibo",,,,Shengwu Duoyangxing,May-12,2012,20,3,,,,270,279,,,,,7,1.17
,"""Non-model deception""",,,Flower,,,Flower,,,,Pollinator,Pollinator behavior and deceptive pollination: Learning process and floral evolution,"Ferdy, JB; Gouyon, PH; Moret, J; Godelle, B",,,,AMERICAN NATURALIST,Nov-98,1998,152,5,,,,696,705,,10.1086/286200,,,52,2.6
,,,,,,,,,,,,Mimetismo entre hormigas endemicas de Cuba.. [Mimetism in endemic ants in Cuba.],"Fontenla Rizo, Jorge L.",,,,Cocuyo,diciembre 1995,1995,4,,,,,13,16,,,,,2,0.09
,,,,,,,,,,,,"Complex display behaviour during the intraspecific interactions of myrmecomorphic jumping spiders (Araneae, Salticidae)","Nelson, Ximena J.; Jackson, Robert R.",,,,JOURNAL OF NATURAL HISTORY,2007,2007,41,25-28,,,,1659,1678,,10.1080/00222930701450504,,,9,0.82
,,,,,,,,,,,,Do rufous common cuckoo females indeed mimic a predator? An experimental test,"Trnka, Alfred; Trnka, Michal; Grim, Tomas",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Sep-15,2015,116,1,,,,134,143,,10.1111/bij.12570,,,5,1.67
,,,,,,,,,,,,A mathematical model of population dynamics for Batesian mimicry system,"Seno, Hiromi; Kohno, Takahiro",,,,Journal of Biological Dynamics,MAR 1 2012,2012,6,2,,,,1034,1051,,10.1080/17513758.2012.672659,,,0,0
,,,,Flower,,,Flower,,,,Pollinator/bumblebee,The potential for floral mimicry in rewardless orchids: an experimental study,"Gigord, LDB; Macnair, MR; Stritesky, M; Smithson, A",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUL 7 2002,2002,269,1498,,,,1389,1395,,10.1098/rspb.2002.2018,,,50,3.12
,,,,,,,,,,,,"Similarity in flight behaviour between the honeybee Apis mellifera (Hymenoptera : Apidae) and its presumed mimic, the dronefly Eristalis tenax (Diptera : Syrphidae)","Golding, YC; Ennos, AR; Edmunds, M",,,,JOURNAL OF EXPERIMENTAL BIOLOGY,Jan-01,2001,204,1,,,,139,145,,,,,28,1.65
,,,,,,,,,,,,Some Possible Cases of Escape Mimicry in Neotropical Butterflies,"Pinheiro, C. E. G.; Freitas, A. V. L.",,,,NEOTROPICAL ENTOMOLOGY,Oct-14,2014,43,5,,,,393,398,,10.1007/s13744-014-0240-y,,,3,0.75
,Theoretical,,,,,,,,,,,State-dependent risk-taking by predators in systems with defended prey,"Sherratt, TN",,,,OIKOS,Oct-03,2003,103,1,,,,93,100,,10.1034/j.1600-0706.2003.12576.x,,,35,2.33
,,,,,,,,,,,,Mimicry and the Chrysomelidae.,"Balsbaugh, E.U., Jr",,,,Series Entomologica (Dordrecht),1988,1988,42,,,,,261,284,,,,,0,0
,,,,,,,,,,,,Plant defence signals and Batesian mimicry,"Augner, M; Bernays, EA",,,,EVOLUTIONARY ECOLOGY,Aug-98,1998,12,6,,,,667,679,,10.1023/A:1006581415114,,,22,1.1
,,,,,,,,,,,,A genetic mechanism for female-limited Batesian mimicry in Papilio butterfly,"Nishikawa, Hideki; Iijima, Takuro; Kajitani, Rei; Yamaguchi, Junichi; Ando, Toshiya; Suzuki, Yutaka; Sugano, Sumio; Fujiyama, Asao; Kosugi, Shunichi; Hirakawa, Hideki; Tabata, Satoshi; Ozaki, Katsuhisa; Morimoto, Hiroya; Ihara, Kunio; Obara, Madoka; Hori, Hiroshi; Itoh, Takehiko; Fujiwara, Haruhiko",,,,NATURE GENETICS,Apr-15,2015,47,4,,,,405,U169,,10.1038/ng.3241,,,23,7.67
,,,,,,,,,,,,Multiple selective pressures apply to a coral reef fish mimic: a case of Batesian-aggressive mimicry,"Cheney, Karen L.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUN 22 2010,2010,277,1689,,,,1849,1855,,10.1098/rspb.2009.2218,,,14,1.75
,,,,,,,,,,,,Does the abundance of hoverfly (syrphidae) mimics depend on the numbers of their hymenopteran models?,"Howarth, B; Edmunds, M; Gilbert, F",,,,EVOLUTION,Feb-04,2004,58,2,,,,367,375,,10.1111/j.0014-3820.2004.tb01652.x,,,23,1.64
,,,,,,,,,,,,"The biology and host plants of the Australian weevil Rhinotia haemoptera (Kirby) (Insecta, Coleoptera, Belidae)","Hawkeswood, Trevor J.; Turner, James R.; Lebreton, Matthew",,,,Spixiana,1994,1994,17,3,,,,237,245,,,,,0,0
,,,,,,,,,,,,Sexual differences in spectral sensitivity and wing colouration of 13 species of Japanese Thecline butterflies (Lepidoptera: Lycaenidae),"Imafuku, Michio",,,,EUROPEAN JOURNAL OF ENTOMOLOGY,2013,2013,110,3,,,,435,442,,,,,1,0.2
,,,,,,,,,,,,Does gene flow maintain a maladaptive phenotype in a Batesian mimicry complex?,"Harper, GR",,,,INTEGRATIVE AND COMPARATIVE BIOLOGY,Dec-04,2004,44,6,,,,565,565,,,Annual Meeting of the Society-for-Integrative-and-Comparative-Biology (SICB),"JAN 04-08, 2005",0,0
,,,,,,,,,,,,Antipredator strategies and mimicry in red-necked nightjar Caprimulgus ruficollis.,"Aragones, Juan; Arias de Reyna, Luis; Recuerda, Pilar",,,,Etologia,1998,1998,6,,,,,53,59,,,,,2,0.1
,,,,,,,,,,,,Crying wolf to a predator: deceptive vocal mimicry by a bird protecting young,"Igic, Branislav; McLachlan, Jessica; Lehtinen, Inkeri; Magrath, Robert D.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUN 22 2015,2015,282,1809,,,,,,20150798,10.1098/rspb.2015.0798,,,3,1
,,,,,,,,,,,,Beak marks on butterfly wings with special reference to Japanese black swallowtail,"Kiritani, Keizi; Yamashita, Hanae; Yamamura, Kohji",,,,POPULATION ECOLOGY,Jul-13,2013,55,3,,,,451,459,,10.1007/s10144-013-0375-4,,,2,0.4
,,,,,,,,,,,,The effectiveness of hawk mimicry in protecting cuckoos from aggressive hosts,"Trnka, Alfred; Prokop, Pavol",,,,ANIMAL BEHAVIOUR,Jan-12,2012,83,1,,,,263,268,,10.1016/j.anbehav.2011.10.036,,,26,4.33
,,,,,,,,,,,,"A case of Batesian mimicry between a myrmecophilous staphylinid beetle, Pella comes, and its host ant, Lasius (Dendrolasius) spathepus: an experiment using the Japanese treefrog, Hyla japonica as a real predator","Taniguchi, K; Maruyama, M; Ichikawa, T; Ito, F",,,,INSECTES SOCIAUX,Nov-05,2005,52,4,,,,320,322,,10.1007/s00040-005-0813-1,,,8,0.62
,,,,,,,,,,,,Salticid predation as one potential driving force of ant mimicry in jumping spiders,"Huang, Jin-Nan; Cheng, Ren-Chung; Li, Daiqin; Tso, I-Min",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MAY 7 2011,2011,278,1710,,,,1356,1364,,10.1098/rspb.2010.1896,,,19,2.71
,,,,,,,,,,,,Why many Batesian mimics are inaccurate: evidence from hoverfly colour patterns,"Taylor, Christopher H.; Reader, Tom; Gilbert, Francis",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,NOV 16 2016,2016,283,1842,,,,,,20161585,10.1098/rspb.2016.1585,,,0,0
,,,,Snake,,,Snake,,,,Predator,Predator Cognition Permits Imperfect Coral Snake Mimicry,"Kikuchi, David W.; Pfennig, David W.",,,,AMERICAN NATURALIST,Dec-10,2010,176,6,,,,830,834,,10.1086/657041,,,36,4.5
,,,,,,,,,,,,The role of toxic pitohuis in mixed-species flocks of lowland forest in Papua New Guinea,"Goodale, Eben; Goodale, Uromi; Mana, Ralph",,,,EMU,2012,2012,112,1,,,,9,16,,10.1071/MU11026,,,5,0.83
,,,,,,,,,,,,A mathematical model of population dynamics for Batesian mimicry system,"Seno, Hiromi; Kohno, Takahiro",,,,JOURNAL OF BIOLOGICAL DYNAMICS,2012,2012,6,2,,,,1034,1051,,10.1080/17513758.2012.672659,,,1,0.17
,,,,Octocorallia,,,Octocorallia,,,,Predator,CHEMICAL ADAPTATIONS IN THE OCTOCORALLIA - EVOLUTIONARY CONSIDERATIONS,"SAMMARCO, PW; COLL, JC",,,,MARINE ECOLOGY PROGRESS SERIES,Oct-92,1992,88,1,,,,93,104,,10.3354/meps088093,,,64,2.46
,,,,,,,,,,,,"The distribution and abundance of three aposematic, chemically defended gammarid amphipods off Bell Island, WA.","Norton, SF; Stallings, CD",,,,AMERICAN ZOOLOGIST,1999,1999,39,5,,,SI,119A,119A,,,,,0,0
,,,,,,,,,,,,How to look like a mallow: evidence of floral mimicry between Turneraceae and Malvaceae,"Benitez-Vieyra, Santiago; de Ibarra, Natalie Hempel; Wertlen, Anna M.; Cocucci, Andrea A.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,SEP 22 2007,2007,274,1623,,,,2239,2248,,10.1098/rspb.2007.0588,,,18,1.64
,,,,,,,,,,,,"Description and natural history of the first micropterous Meteorus species: M. orocrambivorus sp n. (Hymenoptera, Braconidae, Euphorinae), endemic to New Zealand","Aguirre, Helmuth; Shaw, Scott R.; Berry, Jocelyn A.; de Sassi, Claudio",,,,JOURNAL OF HYMENOPTERA RESEARCH,2014,2014,38,,,,,45,57,,10.3897/JHR.38.7403,,,1,0.25
,,,,,,,,,,,,"Stridulation in Cymatodera Gray, 1832 (Coleoptera : Cleridae)","Rifkind, Jacques",,,,PAN-PACIFIC ENTOMOLOGIST,Sep-06,2006,82,2,,,,258,261,,,,,4,0.33
,,,,,,,,,,,,Five species of passerine bird differ in their ability to detect Batesian mimics,"Turini, Alena; Vesely, Petr; Fuchs, Roman",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Apr-16,2016,117,4,,,,832,841,,10.1111/bij.12708,,,0,0
,,,,,,,,,,,,"Genus Mantillica Westwood, 1889: rediscovery and review of the Amazonian ant-mantis"" (Mantodea: Thespidae: Oligonicinae)""","Agudelo, Antonio A.; Rafael, Jose A.",,,,ENTOMOLOGICAL SCIENCE,Oct-14,2014,17,4,,,,400,408,,10.1111/ens.12072,,,2,0.5
,,,,,,,,,,,,Comparative genomics of the mimicry switch in Papilio dardanus.,"Timmermans, Martijn J T N; Baxter, Simon W; Clark, Rebecca; Heckel, David G; Vogel, Heiko; Collins, Steve; Papanicolaou, Alexie; Fukova, Iva; Joron, Mathieu; Thompson, Martin J; Jiggins, Chris D; ffrench-Constant, Richard H; Vogler, Alfried P",,,,Proceedings. Biological sciences,2014-Jul-22,2014,281,1787,,,,,,,10.1098/rspb.2014.0465,,,0,0
,,,,,,,,,,,,EVIDENCE FOR BATESIAN MIMICRY IN A POLYMORPHIC HOVERFLY,"Edmunds, Malcolm; Reader, Tom",,,,EVOLUTION,Mar-14,2014,68,3,,,,827,839,,10.1111/evo.12308,,,4,1
,,,,Spider,,,Ant,,,,Predator,Myrmecomorphy and myrmecophily in spiders: A review,"Cushing, PE",,,,FLORIDA ENTOMOLOGIST,Jun-97,1997,80,2,,,,165,193,,10.2307/3495552,,,95,4.52
,,,,,,,,,,,,"Once a Batesian mimic, not always a Batesian mimic: mimic reverts back to ancestral phenotype when the model is absent","Prudic, Kathleen L.; Oliver, Jeffrey C.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MAY 22 2008,2008,275,1639,,,,1125,1132,,10.1098/rspb.2007.1766,,,14,1.4
,,,,,,,,,,,,Comparative genomics of the mimicry switch in Papilio dardanus,"Timmermans, Martijn J. T. N.; Baxter, Simon W.; Clark, Rebecca; Heckel, David G.; Vogel, Heiko; Collins, Steve; Papanicolaou, Alexie; Fukova, Iva; Joron, Mathieu; Thompson, Martin J.; Jiggins, Chris D.; Ffrench-Constant, Richard H.; Vogler, Alfried P.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUL 22 2014,2014,281,1787,,,,,,20140465,10.1098/rspb.2014.0465,,,7,1.75
,,,,,,,,,,,,Aposematic coloration and mimicry in opisthobranch mollusks: New phylogenetic and experimental data,"Gosliner, Terrence M.",,,,Bollettino Malacologico,"25 Giugno, 2001",2001,37,05-Aug,,,,163,170,,,,,19,1.12
,,,,,,,,,,,,The almost invisible league: crypsis and association between minute fishes and shrimps as a possible defence against visually hunting predators,"Carvalho, Lucelia Nobre; Zuanon, Jansen; Sazima, Ivan",,,,NEOTROPICAL ICHTHYOLOGY,APR-JUN 2006,2006,4,2,,,,219,224,,10.1590/S1679-62252006000200008,,,13,1.08
,,,,,,,,,,,,Why many Batesian mimics are inaccurate: evidence from hoverfly colour patterns.,"Taylor, Christopher H; Reader, Tom; Gilbert, Francis",,,,Proceedings. Biological sciences,2016-Nov-16,2016,283,1842,,,,,,,10.1098/rspb.2016.1585,,,0,0
,,,,,,,,,,,,Protection by association: evidence for aposematic commensalism,"De Wert, Leoni; Mahon, Kevin; Ruxton, Graeme D.",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,May-12,2012,106,1,,,,81,89,,10.1111/j.1095-8312.2012.01855.x,,,1,0.17
,,,,,,,,,,,,The distribution of the epizoic ciliates of Gammarus and their role as bioindicators,"Rustige, K. H.; Mannesmann, R.",,,,Limnologica,1993,1993,23,1,,,,39,45,,,,,0,0
,,,,,,,,,,,,Mimetic butterflies support Wallace's model of sexual dimorphism,"Kunte, Krushnamegh",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUL 22 2008,2008,275,1643,,,,1617,1624,,10.1098/rspb.2008.0171,,,19,1.9
,,,,,,,,,,,,First record of potential Batesian mimicry in an elasmobranch: juvenile zebra sharks mimic banded sea snakes?,"Dudgeon, Christine L.; White, William T.",,,,MARINE AND FRESHWATER RESEARCH,2012,2012,63,6,,,,545,551,,10.1071/MF11211,,,1,0.17
,,,,,,,,,,,,"Multiple Model Mimicry and Feeding Behavior of the Spider Web-Inhabiting Damsel Bug, Arachnocoris berytoides Uhler (Hemiptera: Nabidae), from Puerto Rico","Mercado, Javier E.; Santiago-Blay, Jorge A.",,,,Life-The Excitement of Biology,2015,2015,3,1,,,,20,32,,10.9784/LEB3(1)Mercado.01,,,1,0.33
,,,,,,,,,,,,Similar yet different: differential response of a praying mantis to ant-mimicking spiders,"Ramesh, Aparajitha; Vijayan, Sajesh; Sreedharan, Sreethin; Somanathan, Hema; Uma, Divya",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Sep-16,2016,119,1,,,,158,165,,10.1111/bij.12793,,,0,0
,,,,,,,,,,,,Habitat selection in a deceptive predator: maximizing resource availability and signal efficacy,"O'Hanlon, J. C.; Herberstein, M. E.; Holwell, G. I.",,,,BEHAVIORAL ECOLOGY,JAN-FEB 2015,2015,26,1,,,,194,199,,10.1093/beheco/aru179,,,2,0.67
,,,,,,,,,,,,Batesian mimic butterflies taken in by their models and the mimetic status of Argyreus hyperbius L. (Nymphalidae),"Smetacek, Peter",,,,Journal of the Bombay Natural History Society,Dec-05,2005,102,3,,,,352,353,,,,,1,0.08
,,,,,,,,,,,,"Predator learning, experimental psychology and novel predictions for mimicry dynamics","Darst, CR",,,,ANIMAL BEHAVIOUR,Apr-06,2006,71,,4,,,743,748,,10.1016/j.anbehav.2005.08.006,,,9,0.75
