"catalogNumber","type","order","scientificName","scientificNameAuthorship","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","locationRemarks","time","day","month","year","bodylength","source","dorsalAccuracyMorphometric","lateralAccuracyMorphometric","dorsalAccuracyMachineLearning","lateralAccuracyMachineLearning"
704,"non-mimic","Araneae","Astia hariola","(Koch, 1879)",-33.6290972222222,150.771011111111,1493,19.29394531,"UWS Richmond, NSW","13:58",12,5,2017,5.2,"Collected",-1.01579217537303,-1.35412259462889,0,0
267,"model","Hymenoptera","Camponotus nigriceps","(Smith, 1858)",-33.77091944,151.1141361,10,75.6,"MQ campus","15:45",19,10,2016,15.3,"Collected",3.12173750151428,1.61111489515929,0.943565964698792,0.83689671754837
289,"model","Hymenoptera","Camponotus nigriceps","(Smith, 1858)",-33.77078333,151.1141972,10,54.3,"MQ campus","11:01",20,10,2016,13.5,"Collected",,2.58587912865473,,0.81043154001236
77,"model","Hymenoptera","Camponotus sp1","",-33.7969388888889,151.135338888889,10,0,"Blenheim Park, Sydney, NSW","11:40",9,10,2016,7.6,"Collected",1.62932747282633,,0.968006610870361,
310,"model","Hymenoptera","Camponotus sp2","",-33.77115278,151.1135556,10,54.7,"MQ campus","12:46",20,10,2016,6.6,"Collected",,2.20120429624388,,0
14,"non-mimic","Hemiptera","Cicadellid1 sp1","",-33.7710388888889,151.113427777778,10,0,"MQ campus, Sydney, NSW","11:40",26,9,2016,2.5,"Collected",-0.639244569774531,,0,
506,"non-mimic","Hemiptera","Cicadellid2 sp1","",-15.5726472222222,144.445580555556,20,77.60656793,"Track near Laura River, Qld","10:53",16,3,2017,1.8,"Collected",-0.574624153556984,-0.706241431838849,0.319348484277725,0.582386881113052
381,"mimetic insect","Coleoptera","Coleoptera2 sp1","",-33.7752805555556,151.107008333333,10,0,"MQ campus, Sydney, NSW","14:45",31,10,2016,6,"Collected",0.723967087017873,-0.0218593129234872,0.846439898014069,0.883633375167847
663,"mimetic insect","Coleoptera","Coleoptera2 sp1","",-33.7725222222222,151.115158333333,65,65,"MQ campus, Sydney, NSW","13:46",16,5,2017,6.4,"Collected",0.150402241397865,0.0041417373612153,0.745175212621689,0.622968733310699
717,"mimetic insect","Coleoptera","Coleoptera2 sp1","",-33.7711944444444,151.113541666667,10,82.31640625,"MQ campus, Sydney, NSW","14:26",17,5,2017,5.7,"Collected",0.277743107663693,0.162712234601189,0.922278106212616,0.835697680711746
722,"mimetic insect","Coleoptera","Coleoptera2 sp1","",-33.7711944444444,151.113541666667,10,82.31640625,"MQ campus, Sydney, NSW","14:26",17,5,2017,5.6,"Collected",0.244205785761556,0.0153029388618924,0.820030450820923,0
404,"mimetic insect","Coleoptera","Coleoptera3 sp1","",-33.7130805555556,149.972052777778,100,1050,"Duckmaloi, NSW","00:00",24,1,2017,11,"Collected",0.47814064735082,0.407408278406675,0,0.694048643112183
884,"mimetic insect","Hemiptera","Colobathristid1 sp1","",-23.3935638888889,150.576722222222,5,16.2194211,"Rockhampton Memorial Gardens Cemetery, Qld","14:32",21,6,2017,7,"Collected",-0.806539419280307,-0.870058303693008,0.678727924823761,0.743743300437927
469,"mimetic spider","Araneae","Corinnid1 sp1","",-15.5885055555556,144.537644444444,5,155.3498452,"Qld, Quinkan Bush Blitz site B13","11:03",12,3,2017,3.9,"Collected",-0.291679893266307,-0.306599720745744,0.318059086799622,0.809939682483673
489,"mimetic spider","Araneae","Corinnid1 sp1","",-15.7772027777778,144.357802777778,5,156.3535912,"Qld, Mosman River near Quinkan Bush Blitz site B1","17:08",14,3,2017,4,"Collected",-1.30255754558179,-0.938384267576893,0.64719158411026,0.415144026279449
919,"non-mimic","Araneae","Cosmophasis baehrae","(Zabka & Waldock, 2012)",-23.3993194444444,150.504761111111,5,7.626831149,"Curtis Park, Rockhampton, Qld","09:21",21,6,2017,4.1,"Collected",-0.790863047632509,-0.873908416020722,0,0
939,"non-mimic","Araneae","Cosmophasis baehrae","(Zabka & Waldock, 2012)",-23.3990222222222,150.504866666667,5,10.05633543,"Curtis Park, Rockhampton, Qld","09:18",21,6,2017,3.4,"Collected",-1.06500738988125,-1.08306124656817,0,0.348548710346222
397,"mimetic spider","Araneae","Cosmophasis bitaeniata","(Keyserling, 1882)",,,,,"Purchased spiders","00:00",18,1,2017,7.4,"Collected",-0.672278177688997,-0.16409125699635,0.281171977519989,0.820828080177307
400,"mimetic spider","Araneae","Cosmophasis bitaeniata","(Keyserling, 1882)",,,,,"Purchased spiders","00:00",18,1,2017,7.8,"Collected",0.194518041391029,-0.449936426248246,0,0
401,"mimetic spider","Araneae","Cosmophasis bitaeniata","(Keyserling, 1882)",,,,,"Purchased spiders","00:00",18,1,2017,6,"Collected",-0.80012027901446,-0.561116885457572,0,0.560410231351852
473,"mimetic spider","Araneae","Cosmophasis bitaeniata","(Keyserling, 1882)",-15.5885055555556,144.537644444444,5,155.3498452,"Qld, Quinkan Bush Blitz site B13","11:03",12,3,2017,5.3,"Collected",-0.125995591015777,-0.136020958774169,0,0.258342385292053
492,"mimetic spider","Araneae","Cosmophasis bitaeniata","(Keyserling, 1882)",-15.8821388888889,144.922538888889,200,,"Qld, Quinkan Bush Blitz site B18 helipad","11:00",15,3,2017,7,"Collected",-0.975079161511791,-0.794069840274283,0,0.632339328527451
913,"non-mimic","Araneae","Cosmophasis micarioides","(L. Koch, 1880)",-23.3993138888889,150.504761111111,5,11.41705426," Curtis Park, Rockhampton, Qld","09:31",21,6,2017,5.2,"Collected",-0.896346243979974,-0.535385162227976,0,0
457,"non-mimic","Araneae","Cosmophasis thalassina","(C.L. Koch, 1846)",-15.5737861111111,144.447052777778,200,65.91668709,"Qld, Laura River near Laura","14:33",9,3,2017,2.5,"Collected",-0.89446437829938,-1.46186158252913,0.264170497655869,0.262595623731613
849,"non-mimic","Araneae","Cosmophasis thalassina","(C.L. Koch, 1846)",-23.3616694444444,150.517625,5,0.4396362496,"Kershaw Botanic Gardens, Rockhampton, Qld","08:29",22,6,2017,3.7,"Collected",-0.967360242699396,-0.632533758300899,0,0
897,"non-mimic","Araneae","Cosmophasis thalassina","(C.L. Koch, 1846)",-23.3984833333333,150.490936111111,5,41.82116788,"Rockhampton Botanic Gardens, Qld","13:22",21,6,2017,3.7,"Collected",-1.14666666511331,-0.966626156687219,0,0
900,"non-mimic","Araneae","Cosmophasis thalassina","(C.L. Koch, 1846)",-23.3456972222222,150.557005555556,30,114.6015625,"Frenchville, North Rockhampton, Qld","17:11",21,6,2017,4.4,"Collected",-0.891761006917641,-1.24945070585057,0,0.50896692276001
901,"non-mimic","Araneae","Cosmophasis thalassina","(C.L. Koch, 1846)",-23.3456972222222,150.557005555556,30,114.6015625,"Frenchville, North Rockhampton, Qld","17:11",21,6,2017,3.9,"Collected",-1.08190167294916,-1.11716844977326,0,0
927,"non-mimic","Araneae","Cosmophasis thalassina","(C.L. Koch, 1846)",-23.3993194444444,150.504761111111,5,7.626831149,"Curtis Park, Rockhampton, Qld","09:21",21,6,2017,3.8,"Collected",-0.724196019699035,-0.671115204289344,0,0
940,"non-mimic","Araneae","Cosmophasis thalassina","(C.L. Koch, 1846)",-23.3993194444444,150.504761111111,5,7.626831149,"Curtis Park, Rockhampton, Qld","09:21",21,6,2017,4,"Collected",-0.810358193217885,-1.04607526393154,0,0
23,"model","Hymenoptera","Crematogaster sp1","",-33.7683055555556,151.118258333333,10,0,"MQ nature reserve, NSW","16:10",29,9,2016,3.2,"Collected",,2.7233958912987,,0.506363570690155
31,"model","Hymenoptera","Crematogaster sp1","",-33.7686111111111,151.119258333333,10,0,"MQ nature reserve, NSW","12:20",30,9,2016,3.2,"Collected",1.27374732572276,,0.553802251815796,
568,"model","Hymenoptera","Crematogaster sp1","",-33.7696388888889,151.111497222222,10,69.99188312,"MQ campus, Sydney, NSW","12:09",16,4,2017,3.5,"Collected",2.1481790517871,,0.970229268074036,
842,"model","Hymenoptera","Crematogaster sp1","",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,4.1,"Collected",2.09126146485216,0.853416312817262,0.912291308244069,0.930487155914307
405,"mimetic insect","Hemiptera","Daerlac apicalis","(Distant, 1904)",-33.773825,151.116311111111,,62.38543897,"MQ campus, Sydney, NSW","14:22",1,2,2017,7,"Collected",-0.487860248119508,-0.228362950470474,0,0.596610903739929
766,"mimetic insect","Hemiptera","Daerlac apicalis","(Distant, 1904)",-33.6261111111111,150.765275,5,15.16479401,"UWS Richmond, NSW","11:39",23,5,2017,5.8,"Collected",-0.156810936532511,-0.530347474987608,0.836700439453125,0.833550900220871
769,"mimetic insect","Hemiptera","Daerlac apicalis","(Distant, 1904)",-33.6261111111111,150.765275,5,15.16479401,"UWS Richmond, NSW","11:39",23,5,2017,6.6,"Collected",-0.0138485092481295,-0.156818937215702,0.924973845481873,0.917739689350128
770,"mimetic insect","Hemiptera","Daerlac apicalis","(Distant, 1904)",-33.6261111111111,150.765275,5,15.16479401,"UWS Richmond, NSW","11:39",23,5,2017,6.7,"Collected",-0.039810881596196,-0.37333917812895,0.826916694641113,0.802214294672012
804,"mimetic insect","Hemiptera","Daerlac apicalis","(Distant, 1904)",-27.4981472222222,152.914063888889,5,21.5311284,"Rafting Ground Rd, Brisbane, Qld","10:07",18,6,2017,5.7,"Collected",0.19152156458075,-0.194559545835869,0.932484477758408,0.729715019464493
642,"mimetic insect","Hemiptera","Daerlac nigricans","(Distant, 1918)",-33.7709277777778,151.113586111111,10,88.52471483,"MQ campus, Sydney, NSW","12:42",16,5,2017,7.3,"Collected",-0.137877075197122,-0.402372319701527,0.867191433906555,0.902572393417358
662,"mimetic insect","Hemiptera","Daerlac nigricans","(Distant, 1918)",-33.7725222222222,151.115158333333,65,65,"MQ campus, Sydney, NSW","13:46",16,5,2017,7,"Collected",-0.313940656101653,-0.15233044618836,0.652776122093201,0.772109478712082
665,"mimetic insect","Hemiptera","Daerlac nigricans","(Distant, 1918)",-33.796925,151.134919444444,5,47.41442953,"Blenheim Park, North Ryde, NSW","11:56",17,5,2017,7.9,"Collected",0.0165471911645446,-0.305127828499678,0.864390283823013,0.659381985664368
715,"mimetic insect","Hemiptera","Daerlac nigricans","(Distant, 1918)",-33.7711944444444,151.113541666667,10,82.31640625,"MQ campus, Sydney, NSW","14:26",17,5,2017,7.2,"Collected",-0.149781383321923,,0.912833243608475,
720,"mimetic insect","Hemiptera","Daerlac nigricans","(Distant, 1918)",-33.7711944444444,151.113541666667,10,82.31640625,"MQ campus, Sydney, NSW","14:26",17,5,2017,8,"Collected",-0.00701262488324472,,0.883699983358383,
728,"mimetic insect","Hemiptera","Daerlac nigricans","(Distant, 1918)",-33.7711944444444,151.113541666667,10,82.31640625,"MQ campus, Sydney, NSW","14:26",17,5,2017,7.3,"Collected",0.150863573987611,-0.375675656077878,0.931584507226944,0.801941186189651
591,"mimetic spider","Araneae","Damoetas nitidus","(L. Koch, 1880)",-33.6280416666667,150.767533333333,10,33.26635514,"UWS Richmond, NSW","12:08",30,4,2017,3.2,"Collected",-0.572953927968005,-0.463022265517486,0,0.289709687232971
459,"mimetic spider","Araneae","Damoetas sp1","",-15.6310055555556,144.647263888889,5,187.9233449,"Quinkan bush blitz, Qld, site B11","08:55",7,3,2017,3.5,"Collected",-0.619829250293586,,0,
518,"mimetic spider","Araneae","Damoetas sp2","",-33.8937527777778,151.235961111111,10,38.51586875,"Centennial Park, Sydney, NSW","15:11",1,4,2017,3.2,"Collected",-0.396947961799219,-0.497924357636394,0.324999213218689,0.712705880403519
617,"mimetic spider","Araneae","Damoetas sp3","",-30,147,,,"Brewarrina, NSW","00:00",24,11,1999,3.6,"Borrowed from AM",-0.053726832028222,,,
274,"mimetic insect","Diptera","Diptera1 sp1","",-33.77071111,151.1142111,10,51.8,"MQ campus","16:20",19,10,2016,12.6,"Collected",-0.730431185814138,,0.695810556411743,
18,"non-mimic","Diptera","Diptera3 sp1","",-33.7685722222222,151.118836111111,10,0,"MQ nature reserve, NSW","15:30",28,9,2016,3.4,"Collected",,-0.772601073686529,,
390,"model","Hymenoptera","Dolichoderus clarki","(Wheeler, 1935)",-33.7119138888889,149.970872222222,10,1031.952522,"Duckmaloi, NSW","10:30",17,1,2017,7.5,"Collected",,2.47376174982356,,0.973418414592743
412,"model","Hymenoptera","Dolichoderus clarki","(Wheeler, 1935)",-33.7127722222222,149.972213888889,5,1074.667482,"Duckmaloi, NSW","12:30",8,2,2017,7.4,"Collected",0.474205788254297,1.92536621362857,0.953652501106262,0.702444523572922
593,"mimetic spider","Araneae","Eilica sp1","",-33.6280416666667,150.767533333333,10,33.26635514,"UWS Richmond, NSW","12:08",30,4,2017,4.2,"Collected",-1.28469617368657,-0.732672064641902,0,0.569602966308594
621,"mimetic spider","Araneae","Eilica sp1","",-33.6287416666667,150.766875,5,19.6461794,"UWS Richmond, NSW","10:09",12,5,2017,3.6,"Collected",-1.00820586866164,-0.633041664835164,0.307882577180862,0.783981561660767
625,"mimetic spider","Araneae","Eilica sp1","",-33.6287416666667,150.766875,5,19.6461794,"UWS Richmond, NSW","10:09",12,5,2017,4.4,"Collected",-0.966209781619705,,0,
626,"mimetic spider","Araneae","Eilica sp1","",-33.6287416666667,150.766875,5,19.6461794,"UWS Richmond, NSW","10:09",12,5,2017,4.6,"Collected",-1.56685932566487,-0.834847290933076,0,0
696,"mimetic spider","Araneae","Eilica sp1","",-33.6290805555556,150.765669444444,10,51.74181818,"UWS Richmond, NSW","11:30",12,5,2017,4,"Collected",-1.25747056136512,-0.756759865439065,0,0
16,"non-mimic","Hemiptera","Eurybrachyid1 sp1","",-33.7710388888889,151.113427777778,10,0,"MQ campus, Sydney, NSW","11:40",26,9,2016,8.4,"Collected",-1.44661675516016,,0,
393,"mimetic insect","Hemiptera","Eurymela rubrolimbata","(Kirkaldy, 1906)",-33.7119138888889,149.970872222222,10,1031.952522,"Duckmaloi, NSW","10:30",17,1,2017,5.4,"Collected",-0.273375615360305,-0.224417390185673,0,0.686502754688263
394,"non-mimic","Hemiptera","Eurymela rubrolimbata","(Kirkaldy, 1906)",-33.7119138888889,149.970872222222,10,1031.952522,"Duckmaloi, NSW","10:30",17,1,2017,10.4,"Collected",-0.977625603841948,0.0900046923560797,0,0
414,"mimetic insect","Hemiptera","Eurymela rubrolimbata","(Kirkaldy, 1906)",-33.7127722222222,149.972213888889,5,1074.667482,"Duckmaloi, NSW","12:30",8,2,2017,5.2,"Collected",-0.106105055052399,,0.508888363838196,
421,"non-mimic","Hemiptera","Eurymela rubrolimbata","(Kirkaldy, 1906)",-33.712025,149.970030555556,5,1043.214106,"Duckmaloi, NSW","08:36",9,2,2017,10,"Collected",-0.597213557269053,,0,
423,"mimetic insect","Hemiptera","Eurymela rubrolimbata","(Kirkaldy, 1906)",-33.712025,149.970030555556,5,1043.214106,"Duckmaloi, NSW","08:36",9,2,2017,1.8,"Collected",-0.507000586440255,-0.107263302590912,0,0
537,"model","Hymenoptera","Formicid1 sp1","",-33.798425,151.126372222222,10,54.20593368,"Macquarie Hospital grounds, North Ryde, NSW","14:37",8,4,2017,5,"Collected",1.64649389784957,1.46398148177081,0.969605048497518,0.973539799451828
563,"model","Hymenoptera","Formicid1 sp1","",-33.7696,151.111236111111,10,72.68543046,"MQ campus, Sydney, NSW","11:58",16,4,2017,3.7,"Collected",1.95098345474228,,0.861821442842484,
667,"model","Hymenoptera","Formicid10 sp1","",-33.6289722222222,150.766494444444,10,20.52673267,"UWS Richmond, NSW","10:47",12,5,2017,5,"Collected",3.95658704577662,2.91226902197672,0.976650238037109,0.974055796861649
843,"model","Hymenoptera","Formicid13 sp1","",-23.8396861111111,151.115708333333,10,44.21996616,"Yarwun, Qld","12:51",22,6,2017,5.6,"Collected",0.666635887463198,1.52345168998361,0.868603408336639,0
438,"model","Hymenoptera","Formicid19 sp1","",-15.5015944444444,144.484238888889,5,101.935,"Qld, Quinkan Bush Blitz standard survey site 2","15:33",6,3,2017,8.8,"Collected",2.61465836292512,1.41524685329831,0.876501262187958,0.969902634620667
21,"model","Hymenoptera","Formicid20 sp1","",-33.7685722222222,151.118836111111,10,0,"MQ nature reserve, NSW","15:30",28,9,2016,2.3,"Collected",3.59403172139793,,0,
690,"model","Hymenoptera","Formicid7 sp1","",-33.6293805555556,150.765611111111,10,35.32763533,"UWS Richmond, NSW","12:23",12,5,2017,7,"Collected",0.235159165135305,,0.954025089740753,
13,"model","Hymenoptera","Froggattella sp1","",-33.7710388888889,151.113427777778,10,0,"MQ campus, Sydney, NSW","11:40",26,9,2016,3.8,"Collected",2.96387335661451,,0.977318167686462,
248,"model","Hymenoptera","Froggattella sp1","",-33.77116111,151.1134639,10,61.2,"MQ campus","14:02",19,10,2016,3,"Collected",,2.03085598728128,,0.976360201835632
243,"non-mimic","Orthoptera","Gryllid1 sp1","",-33.77035556,151.109925,10,74.9,"MQ campus","12:40",19,10,2016,3,"Collected",,-1.06859368805497,,
266,"non-mimic","Araneae","Helpis minitabunda","(L. Koch, 1880)",-33.77082778,151.1139361,10,50.5,"MQ campus","15:35",19,10,2016,8.2,"Collected",-0.551880083524736,,0,
531,"mimetic insect","Hemiptera","Hemiptera1 sp1","",-33.8924416666667,151.236344444444,10,56.13934426,"Centennial Park, Sydney, NSW","16:12",1,4,2017,3.2,"Collected",0.627493345894063,-0.106554275544825,0.903329908847809,0.910459578037262
851,"mimetic insect","Hemiptera","Heteroptera2 sp1","",-23.8978833333333,151.262186111111,500,27.21582031,"Toondon Botanic Gardens, Gladstone, Qld","14:13",22,6,2017,2.9,"Collected",-0.47122156577954,0.195239041817106,0.774377465248108,0.783846199512482
892,"mimetic insect","Hemiptera","Heteroptera2 sp1","",-23.34545,150.557005555556,5,74.00585938,"Frenchville, North Rockhampton, Qld","16:36",21,6,2017,3.1,"Collected",-0.946587543327231,0.106667239457841,0.403147608041763,0.742516130208969
910,"mimetic insect","Hemiptera","Heteroptera2 sp1","",-23.3988138888889,150.50505,10,3.485229415,"Curtis Park, Rockhampton, Qld","09:41",21,6,2017,3.1,"Collected",-1.06099453580721,0.0477966935457805,0,0
915,"mimetic insect","Hemiptera","Heteroptera2 sp1","",-23.3996361111111,150.504455555556,5,11.0367428,"Curtis Park, Rockhampton, Qld","08:30",21,6,2017,3.1,"Collected",-0.697937640175012,-0.661281516683482,0,0
666,"non-mimic","Araneae","Holoplatys sp2","",-33.7717944444444,151.115202777778,30,60.65020576,"MQ campus, Sydney, NSW","14:02",16,5,2017,6,"Collected",-0.524414057405684,-0.393643634403171,0,0
19,"non-mimic","","Insecta1 sp1","",-33.7685722222222,151.118836111111,10,0,"MQ nature reserve, NSW","15:30",28,9,2016,1.7,"Collected",,-0.105497010707645,,0
610,"mimetic spider","Araneae","Iridonyssus formicans","(Raven, 2015)",-35.0330555555556,145.917777777778,,62.7549505,"Coleambally Irrigation Area, NSW","00:00",14,12,1998,3.6,"Borrowed from AM",-0.819964748832513,,,
611,"mimetic spider","Araneae","Iridonyssus formicans","(Raven, 2015)",-35.0330555555556,145.917777777778,,62.7549505,"Coleambally Irrigation Area, NSW","00:00",14,12,1998,3.7,"Borrowed from AM",-0.682152476469001,,,
612,"mimetic spider","Araneae","Iridonyssus formicans","(Raven, 2015)",-35.0330555555556,145.917777777778,,62.7549505,"Coleambally Irrigation Area, NSW","00:00",14,12,1998,3.7,"Borrowed from AM",-0.354152869612258,,,
613,"mimetic spider","Araneae","Iridonyssus formicans","(Raven, 2015)",-35.0330555555556,145.917777777778,,62.7549505,"Coleambally Irrigation Area, NSW","00:00",14,12,1998,3.4,"Borrowed from AM",-0.02875994860932,,,
614,"mimetic spider","Araneae","Iridonyssus formicans","(Raven, 2015)",-35.0330555555556,145.917777777778,,62.7549505,"Coleambally Irrigation Area, NSW","00:00",14,12,1998,3.3,"Borrowed from AM",-0.948881013372505,,,
615,"mimetic spider","Araneae","Iridonyssus formicans","(Raven, 2015)",-35.0330555555556,145.917777777778,,62.7549505,"Coleambally Irrigation Area, NSW","00:00",14,12,1998,3.5,"Borrowed from AM",-0.762890528023414,,,
616,"mimetic spider","Araneae","Iridonyssus formicans","(Raven, 2015)",-35.0330555555556,145.917777777778,,62.7549505,"Coleambally Irrigation Area, NSW","00:00",14,12,1998,3.8,"Borrowed from AM",-0.611505146939253,,,
951,"mimetic spider","Araneae","Iridonyssus kohouti","(Raven, 2015)",-33.773383,151.115996,,64.83520599,"MQ campus, Sydney, NSW","15:52",11,7,2017,2.8,"Collected",-0.262879481952386,-0.775630117920165,0,0.684089481830597
242,"non-mimic","Isopoda","Isopoda1 sp1","",-33.77035556,151.109925,10,74.9,"MQ campus","12:40",19,10,2016,7.3,"Collected",,-0.612032417516363,,0
551,"mimetic spider","Araneae","Judalana lutea","(Rix, 1999)",-22.8804722222222,149.538555555556,,161,"Mount Gardiner, Qld","00:00",29,11,2008,4,"Borrowed from AM",-0.542562866765993,,,
817,"mimetic spider","Araneae","Judalana lutea","(Rix, 1999)",-23.3996361111111,150.504455555556,5,11.0367428,"Curtis Park, Rockhampton, Qld","08:30",21,6,2017,3.5,"Collected",-0.34471240899114,-0.773059369764079,0.861416816711426,0.859875977039337
920,"mimetic spider","Araneae","Judalana lutea","(Rix, 1999)",-23.3996361111111,150.504455555556,5,11.0367428,"Curtis Park, Rockhampton, Qld","08:30",21,6,2017,3.4,"Collected",-0.300715826411813,-0.684407167623658,0.351393342018127,0
921,"mimetic spider","Araneae","Judalana lutea","(Rix, 1999)",-23.3616694444444,150.517625,5,0.4396362496,"Kershaw Botanic Gardens, Rockhampton, Qld","08:29",22,6,2017,3,"Collected",-0.314691190003572,-0.603589745841231,0.56950256228447,0.391912013292313
931,"mimetic spider","Araneae","Judalana lutea","(Rix, 1999)",-23.3996361111111,150.504455555556,5,11.0367428,"Curtis Park, Rockhampton, Qld","08:30",21,6,2017,3.6,"Collected",-0.298185012884729,-0.477027471273126,0.280255854129791,0.292930245399475
682,"non-mimic","Araneae","Lamponid2 sp1","",-33.7717944444444,151.115202777778,30,60.65020576,"MQ campus, Sydney, NSW","14:02",16,5,2017,12.4,"Collected",-0.869736059675869,-0.629115160163648,0.623796939849854,0.384838044643402
686,"non-mimic","Araneae","Lamponid2 sp1","",-33.6270777777778,150.768936111111,5,29.73651192,"UWS Richmond, NSW","13:29",12,5,2017,2.8,"Collected",-0.801230719505808,,0,
419,"model","Hymenoptera","Leptomyrmex sp1","",-33.712025,149.970030555556,5,1043.214106,"Duckmaloi, NSW","08:36",9,2,2017,11.7,"Collected",1.15042133549178,1.28889411494646,0.825542986392975,0.798819720745087
458,"mimetic spider","Araneae","Ligonipes sp1","(Karsch, 1878)",-15.819375,144.42715,1000,,"Qld, Quinkan Bush Blitz site F3","00:00",8,3,2017,3.5,"Collected",0.0959548290853305,-0.69346231481384,0.587631225585938,0.881122469902039
540,"mimetic spider","Araneae","Ligonipes sp2","",-27.4842444444444,153.054966666667,1e+05,,"Brisbane, Qld","",,,,4.5,"Borrowed from AM",0.235033485986657,,,
541,"mimetic spider","Araneae","Ligonipes sp2","",-27.4842444444444,153.054966666667,1e+05,,"Brisbane, Qld","",,,,4.2,"Borrowed from AM",0.310479054799023,,,
542,"mimetic spider","Araneae","Ligonipes sp2","",-27.4842444444444,153.054966666667,1e+05,,"Brisbane, Qld","",,,,5.1,"Borrowed from AM",0.521698729060245,,,
813,"mimetic spider","Araneae","Ligonipes sp3","",-23.3453361111111,150.556794444444,5,77.92590325,"Frenchville, North Rockhampton, Qld","16:31",21,6,2017,4,"Collected",-0.174882331604195,-0.252148946048359,0.753870368003845,0.937201321125031
